models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=1,1,1,1,1,1,4,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	69	404	8.84	2.51	0	0	true
1	1	101	481	7.9	4.81	0	1	true
1	2	61	20	6.5	4.67	0	2	true
1	3	330	92	7.79	2.09	0	3	true
1	4	384	463	8.47	1.97	0	4	true
1	5	496	52	5.72	2.62	0	5	true
1	6	10	179	5.26	3.44	0	6	true
1	7	12	185	5.06	6.84	0	6	false
1	8	11	184	5.51	2.83	0	6	false
1	9	12	186	5.69	6.08	0	6	false
2	0	62	409	8.84	2.51	0	0	true
2	1	102	473	7.9	4.81	0	1	true
2	2	61	14	6.5	4.67	0	2	true
2	3	327	99	7.79	2.09	0	3	true
2	4	380	471	8.47	1.97	0	4	true
2	5	491	55	5.72	2.62	0	5	true
2	6	5	178	5.26	3.44	0	6	true
2	7	16	188	4.7	6.66	0	6	false
2	8	5	185	5.5	6.17	0	6	false
2	9	18	185	5.64	1.23	0	6	false
3	0	55	415	8.84	2.51	0	0	true
3	1	103	465	7.9	4.81	0	1	true
3	2	61	7	6.5	4.67	0	2	true
3	3	323	106	7.79	2.09	0	3	true
3	4	377	479	8.47	1.97	0	4	true
3	5	486	58	5.72	2.62	0	5	true
3	6	0	176	5.26	3.44	0	6	true
3	7	21	189	4.86	1.23	0	6	false
3	8	11	185	5.94	1.77	0	6	false
3	9	20	190	5.92	4.02	0	6	false
4	0	48	420	8.84	2.51	0	0	true
4	1	104	458	7.9	4.81	0	1	true
4	2	61	1	6.5	4.67	0	2	true
4	3	319	113	7.79	2.09	0	3	true
4	4	374	487	8.47	1.97	0	4	true
4	5	481	61	5.72	2.62	0	5	true
4	6	4	175	5.26	5.98	0	6	true
4	7	22	194	5.21	4.12	0	6	false
4	8	10	190	5.52	3.56	0	6	false
4	9	16	186	5.22	5.16	0	6	false
5	0	41	425	8.84	2.51	0	0	true
5	1	104	450	7.9	4.81	0	1	true
5	2	60	5	6.5	1.61	0	2	true
5	3	315	119	7.79	2.09	0	3	true
5	4	371	494	8.47	1.97	0	4	true
5	5	477	64	5.72	2.62	0	5	true
5	6	9	173	5.26	5.98	0	6	true
5	7	19	190	5.74	6.83	0	6	false
5	8	5	188	4.66	7.37	0	6	false
5	9	18	181	5.84	2.91	0	6	false
6	0	34	430	8.84	2.51	0	0	true
6	1	105	442	7.9	4.81	0	1	true
6	2	60	11	6.5	1.61	0	2	true
6	3	311	126	7.79	2.09	0	3	true
6	4	367	497	8.47	4.31	0	4	true
6	5	472	67	5.72	2.62	0	5	true
6	6	14	172	5.26	5.98	0	6	true
6	7	24	193	4.74	5.5	0	6	false
6	8	7	192	5.22	7.47	0	6	false
6	9	12	182	5.09	5.2	0	6	false
