models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=Null	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=20,20,20,20,20,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=100	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	202	311	7.47	2.55	0	0	true
1	1	209	298	7.27	4.5	0	0	false
1	2	214	310	6.38	3.99	0	0	false
1	3	202	310	8.54	2.45	0	0	false
1	4	214	306	6.91	3.38	0	0	false
1	5	212	301	6.83	0.66	0	0	false
1	6	213	312	7.99	2.54	0	0	false
1	7	209	313	6.46	0.87	0	0	false
1	8	211	312	7.25	1.98	0	0	false
1	9	213	310	7.95	1.88	0	0	false
1	10	205	300	8.33	-0.09	0	0	false
1	11	212	311	7.73	1.69	0	0	false
1	12	204	300	6.36	0.53	0	0	false
1	13	203	299	6.44	3.11	0	0	false
1	14	202	312	7.78	6.93	0	0	false
1	15	208	299	6.59	2.16	0	0	false
1	16	214	302	7.71	5.38	0	0	false
1	17	215	311	8.44	3.19	0	0	false
1	18	210	313	8.39	3.47	0	0	false
1	19	206	313	6.47	0.9	0	0	false
1	20	391	80	7.94	5.45	0	1	true
1	21	394	83	8.94	5.91	0	1	false
1	22	381	91	8.8	2.82	0	1	false
1	23	384	78	8.17	-0.41	0	1	false
1	24	382	79	8.57	2.14	0	1	false
1	25	389	80	8.23	-2.22	0	1	false
1	26	386	94	6.87	5.06	0	1	false
1	27	385	77	8.98	1.16	0	1	false
1	28	380	90	8.34	4.31	0	1	false
1	29	384	77	8.02	-0.21	0	1	false
1	30	387	78	8.58	1.03	0	1	false
1	31	386	93	8.02	6.05	0	1	false
1	32	393	81	8.1	3.53	0	1	false
1	33	385	79	6.9	1.79	0	1	false
1	34	380	80	8.71	6.58	0	1	false
1	35	393	90	7.64	3.18	0	1	false
1	36	394	87	7.36	4.19	0	1	false
1	37	384	77	8.83	1.99	0	1	false
1	38	392	84	8.14	4.81	0	1	false
1	39	384	79	8.3	0.63	0	1	false
1	40	123	267	6.96	6.2	0	2	true
1	41	117	275	7.73	4.85	0	2	false
1	42	113	261	6.29	-1.42	0	2	false
1	43	119	274	6.16	6.09	0	2	false
1	44	110	264	7.46	0.66	0	2	false
1	45	116	274	6.91	5.54	0	2	false
1	46	116	275	6.98	7.65	0	2	false
1	47	117	274	7.08	3.49	0	2	false
1	48	122	272	6.78	2.69	0	2	false
1	49	119	275	7.56	3.2	0	2	false
1	50	118	273	6.86	3.33	0	2	false
1	51	112	263	7.38	-1.75	0	2	false
1	52	121	272	7.49	3.49	0	2	false
1	53	120	273	6.78	2.72	0	2	false
1	54	119	261	6.25	-1.38	0	2	false
1	55	112	264	7.54	2.45	0	2	false
1	56	122	273	7.04	6.13	0	2	false
1	57	122	270	6.65	4.88	0	2	false
1	58	114	261	6.44	2.99	0	2	false
1	59	117	260	6.36	0.89	0	2	false
1	60	317	425	6.96	0.71	0	3	true
1	61	313	415	7	3.96	0	3	false
1	62	310	413	8	2.13	0	3	false
1	63	318	416	6.6	1.53	0	3	false
1	64	315	426	7.94	4.09	0	3	false
1	65	308	415	7.35	2	0	3	false
1	66	318	424	7.74	2.29	0	3	false
1	67	308	415	7.46	1.05	0	3	false
1	68	318	423	7.66	1.96	0	3	false
1	69	313	413	6.19	3.74	0	3	false
1	70	319	420	7.76	-0.11	0	3	false
1	71	318	417	7.2	-1.03	0	3	false
1	72	315	413	7.87	4.04	0	3	false
1	73	316	416	7.76	-1.02	0	3	false
1	74	305	425	6.46	7.39	0	3	false
1	75	313	428	7.19	8.2	0	3	false
1	76	309	427	6.27	7.46	0	3	false
1	77	308	426	7.77	3.73	0	3	false
1	78	306	414	7.19	1.55	0	3	false
1	79	315	425	6.97	8.83	0	3	false
1	80	300	251	7.34	2.86	0	4	true
1	81	311	255	7.83	4.57	0	4	false
1	82	302	255	7.02	3.32	0	4	false
1	83	304	255	7.95	3.3	0	4	false
1	84	309	255	7.29	3.02	0	4	false
1	85	303	243	7.24	0.71	0	4	false
1	86	304	241	6.85	0.59	0	4	false
1	87	315	246	7.57	1.23	0	4	false
1	88	305	243	6.86	1.34	0	4	false
1	89	301	253	7.16	1.65	0	4	false
1	90	313	252	6.95	5.95	0	4	false
1	91	314	253	6.32	5.46	0	4	false
1	92	313	243	6.93	2.63	0	4	false
1	93	300	252	6.64	6.61	0	4	false
1	94	303	254	6.31	6.77	0	4	false
1	95	307	241	6.89	4.43	0	4	false
1	96	308	241	6.49	0.15	0	4	false
1	97	306	257	7.9	6.33	0	4	false
1	98	313	252	8.15	5.72	0	4	false
1	99	306	256	7	1.32	0	4	false
2	0	195	315	7.47	2.55	0	0	true
2	1	207	291	7.58	-0.68	0	0	false
2	2	210	305	8.18	3.64	0	0	false
2	3	195	316	7.38	4.2	0	0	false
2	4	208	304	7.34	2.42	0	0	false
2	5	217	305	8.01	2.49	0	0	false
2	6	207	317	6.78	1.5	0	0	false
2	7	213	318	8.25	1.94	0	0	false
2	8	208	319	8.25	1.77	0	0	false
2	9	211	317	7.5	4.69	0	0	false
2	10	213	299	7.79	1.86	0	0	false
2	11	211	319	7.44	2.38	0	0	false
2	12	210	303	6.53	2.08	0	0	false
2	13	197	300	7.07	2.86	0	0	false
2	14	208	316	7.04	3.94	0	0	false
2	15	204	305	7.27	0.69	0	0	false
2	16	219	296	6.7	2.05	0	0	false
2	17	206	310	7.41	2.4	0	0	false
2	18	202	310	6.63	1.22	0	0	false
2	19	210	319	8.25	0.97	0	0	false
2	20	396	74	7.94	5.45	0	1	true
2	21	402	79	8.09	3.55	0	1	false
2	22	373	94	8.17	3.17	0	1	false
2	23	392	75	7.72	5.13	0	1	false
2	24	378	87	6.79	4.79	0	1	false
2	25	384	73	7.18	2.66	0	1	false
2	26	388	88	7.6	3.63	0	1	false
2	27	389	86	7.7	4.1	0	1	false
2	28	377	82	7.56	8.15	0	1	false
2	29	392	76	8.21	5.42	0	1	false
2	30	391	85	9.03	2.62	0	1	false
2	31	393	92	8.2	5.36	0	1	false
2	32	385	78	8.8	7.21	0	1	false
2	33	383	86	7.18	6	0	1	false
2	34	388	83	6.78	6.09	0	1	false
2	35	386	90	8.34	3.44	0	1	false
2	36	390	81	8.61	4.27	0	1	false
2	37	381	85	7.07	6.65	0	1	false
2	38	393	76	8.04	3.96	0	1	false
2	39	391	84	8.91	6.31	0	1	false
2	40	130	266	6.96	6.2	0	2	true
2	41	118	267	6.31	7.24	0	2	false
2	42	114	255	6.98	-0.99	0	2	false
2	43	125	273	6.36	4.37	0	2	false
2	44	116	268	6.6	6.52	0	2	false
2	45	121	269	6.72	6.08	0	2	false
2	46	118	282	6.81	7.77	0	2	false
2	47	111	272	7.01	7.05	0	2	false
2	48	116	275	7.87	4.89	0	2	false
2	49	111	274	7.23	4.57	0	2	false
2	50	112	272	6.66	4.07	0	2	false
2	51	110	256	6.06	1.28	0	2	false
2	52	114	269	6.65	7.29	0	2	false
2	53	114	275	6.55	6.91	0	2	false
2	54	120	255	7.64	1.13	0	2	false
2	55	106	268	7.94	4.76	0	2	false
2	56	129	271	6.87	2.15	0	2	false
2	57	123	263	7.39	0.25	0	2	false
2	58	107	262	7.57	-1.38	0	2	false
2	59	121	265	5.95	-1.93	0	2	false
2	60	322	430	6.96	0.71	0	3	true
2	61	309	410	6.08	-0.21	0	3	false
2	62	306	420	7.24	-1.42	0	3	false
2	63	318	423	7.02	2.48	0	3	false
2	64	310	419	7.75	2.31	0	3	false
2	65	305	422	6.91	-1.67	0	3	false
2	66	313	429	7.54	2.71	0	3	false
2	67	312	422	6.42	0.93	0	3	false
2	68	315	430	6.71	3.5	0	3	false
2	69	308	409	6.18	-1.28	0	3	false
2	70	327	419	6.28	1.89	0	3	false
2	71	322	411	6.88	2.46	0	3	false
2	72	310	407	6.01	3.78	0	3	false
2	73	320	409	6.89	3.45	0	3	false
2	74	308	431	7.36	5.84	0	3	false
2	75	310	435	6.81	5.69	0	3	false
2	76	311	433	7.76	5.29	0	3	false
2	77	302	421	7.56	0.35	0	3	false
2	78	307	421	7.01	-2.29	0	3	false
2	79	309	429	7.21	-2.06	0	3	false
2	80	293	253	7.34	2.86	0	4	true
2	81	310	248	6.78	3.29	0	4	false
2	82	295	254	7.44	5.63	0	4	false
2	83	297	254	6.77	3.88	0	4	false
2	84	302	256	7.95	3.72	0	4	false
2	85	308	248	8.09	2.04	0	4	false
2	86	309	245	7.95	1.67	0	4	false
2	87	317	253	6.38	3.96	0	4	false
2	88	306	250	6.28	3.89	0	4	false
2	89	301	260	6.84	6.25	0	4	false
2	90	320	250	7.72	5.68	0	4	false
2	91	318	248	7.13	0.57	0	4	false
2	92	307	247	6.36	1.55	0	4	false
2	93	307	254	6.71	2.48	0	4	false
2	94	308	257	8.21	2.19	0	4	false
2	95	305	235	7.63	4.66	0	4	false
2	96	314	242	8.34	1.05	0	4	false
2	97	314	258	6.79	5.83	0	4	false
2	98	320	247	6.47	3.49	0	4	false
2	99	308	263	8.24	4.7	0	4	false
3	0	189	319	7.47	2.55	0	0	true
3	1	213	286	6.48	-0.34	0	0	false
3	2	203	301	7.37	0.47	0	0	false
3	3	191	309	7.05	3.57	0	0	false
3	4	202	309	6.36	2.08	0	0	false
3	5	211	310	7.23	4	0	0	false
3	6	207	324	6.79	3.17	0	0	false
3	7	210	326	8.1	6.02	0	0	false
3	8	206	327	8.41	1.86	0	0	false
3	9	211	310	6.43	4.33	0	0	false
3	10	211	307	6.45	0.92	0	0	false
3	11	206	324	6.61	6.09	0	0	false
3	12	207	309	6.61	-0.2	0	0	false
3	13	190	302	8.24	3.45	0	0	false
3	14	203	311	6.84	4.4	0	0	false
3	15	210	309	8.01	0.42	0	0	false
3	16	216	302	6.76	-0.08	0	0	false
3	17	201	315	7.1	3.86	0	0	false
3	18	205	317	8.4	2.46	0	0	false
3	19	215	325	7.19	5.98	0	0	false
3	20	402	68	7.94	5.45	0	1	true
3	21	395	76	6.9	4.04	0	1	false
3	22	365	94	8	8.08	0	1	false
3	23	395	68	6.99	-1.36	0	1	false
3	24	378	80	7.46	5.57	0	1	false
3	25	378	77	7.04	4.29	0	1	false
3	26	382	84	7.15	5.1	0	1	false
3	27	384	79	7	4.29	0	1	false
3	28	374	90	8.3	7.34	0	1	false
3	29	397	69	7.85	8.03	0	1	false
3	30	383	90	7.75	5.64	0	1	false
3	31	398	85	8.38	7.15	0	1	false
3	32	391	85	7.53	8.08	0	1	false
3	33	390	84	7.31	4.31	0	1	false
3	34	395	82	7.47	3.12	0	1	false
3	35	378	87	7.42	7.09	0	1	false
3	36	386	73	7.98	3.23	0	1	false
3	37	387	88	7.9	3.63	0	1	false
3	38	387	70	6.84	7.89	0	1	false
3	39	400	84	9.1	6.32	0	1	false
3	40	137	266	6.96	6.2	0	2	true
3	41	121	272	6.19	4.49	0	2	false
3	42	117	249	6.02	0.51	0	2	false
3	43	123	267	7.09	4.07	0	2	false
3	44	122	270	7.99	3.84	0	2	false
3	45	128	268	6.38	4.62	0	2	false
3	46	118	289	6.38	3.42	0	2	false
3	47	116	277	7.68	3.34	0	2	false
3	48	117	267	6.12	8.85	0	2	false
3	49	110	267	7.47	6.23	0	2	false
3	50	108	267	7.55	4.66	0	2	false
3	51	112	262	6.5	2.35	0	2	false
3	52	118	275	7.49	5.48	0	2	false
3	53	119	279	7.66	4.32	0	2	false
3	54	124	262	6.21	1.1	0	2	false
3	55	106	261	7.04	0.22	0	2	false
3	56	125	277	6.64	6.74	0	2	false
3	57	130	265	6.74	0.99	0	2	false
3	58	109	255	7.7	3.11	0	2	false
3	59	119	260	6.13	0.75	0	2	false
3	60	327	434	6.96	0.71	0	3	true
3	61	315	408	8	0.37	0	3	false
3	62	307	413	6.01	-0.7	0	3	false
3	63	312	427	5.95	1.15	0	3	false
3	64	305	425	7.85	1.64	0	3	false
3	65	305	415	7.77	-1.12	0	3	false
3	66	306	433	6.11	2.5	0	3	false
3	67	315	427	7.97	2.28	0	3	false
3	68	308	428	6.4	-1.82	0	3	false
3	69	310	403	6.28	-0.16	0	3	false
3	70	325	425	7.38	3.86	0	3	false
3	71	316	415	6.65	1.68	0	3	false
3	72	305	404	6.98	2.3	0	3	false
3	73	314	407	5.96	2.56	0	3	false
3	74	315	428	7.19	0.48	0	3	false
3	75	316	431	8	0.59	0	3	false
3	76	316	427	6.86	1.52	0	3	false
3	77	309	424	7.51	0.79	0	3	false
3	78	302	416	7.11	-0.18	0	3	false
3	79	306	423	6.41	-0.96	0	3	false
3	80	286	255	7.34	2.86	0	4	true
3	81	303	247	6.84	0.69	0	4	false
3	82	301	249	7.79	2.1	0	4	false
3	83	292	250	8.26	3.2	0	4	false
3	84	296	252	7.52	4.86	0	4	false
