models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=1,1,1,1,1,1,1,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
13	0	487	451	7.72	4.71	0	0	true
13	1	221	305	8.06	4.87	0	1	true
13	2	262	343	6.83	1.92	0	2	true
13	3	272	232	5.86	3.8	0	3	true
13	4	122	111	8.11	0.07	0	4	true
13	5	125	394	9.97	6.02	0	5	true
13	6	141	114	8.84	1.96	0	6	true
13	7	183	18	9.23	0.61	0	6	false
13	8	203	9	9.08	0.71	0	6	false
13	9	193	25	8.46	3.58	0	6	false
14	0	487	443	7.72	4.71	0	0	true
14	1	222	297	8.06	4.87	0	1	true
14	2	259	350	6.83	1.92	0	2	true
14	3	267	228	5.86	3.8	0	3	true
14	4	130	112	8.11	0.07	0	4	true
14	5	135	392	9.97	6.02	0	5	true
14	6	138	122	8.84	1.96	0	6	true
14	7	190	24	7.51	0.23	0	6	false
14	8	210	15	9.89	3.57	0	6	false
14	9	185	22	8.17	0.53	0	6	false
15	0	487	436	7.72	4.71	0	0	true
15	1	224	289	8.06	4.87	0	1	true
15	2	257	356	6.83	1.92	0	2	true
15	3	263	225	5.86	3.8	0	3	true
15	4	138	112	8.11	0.07	0	4	true
15	5	145	389	9.97	6.02	0	5	true
15	6	134	131	8.84	1.96	0	6	true
15	7	198	25	9.34	0.28	0	6	false
15	8	201	10	7.84	1.44	0	6	false
15	9	192	26	9.54	3.58	0	6	false
16	0	487	428	7.72	4.71	0	0	true
16	1	225	281	8.06	4.87	0	1	true
16	2	254	362	6.83	1.92	0	2	true
16	3	258	221	5.86	3.8	0	3	true
16	4	146	113	8.11	0.07	0	4	true
16	5	154	387	9.97	6.02	0	5	true
16	6	131	139	8.84	1.96	0	6	true
16	7	207	28	9.01	4.07	0	6	false
16	8	202	18	8.29	2.33	0	6	false
16	9	183	22	7.63	0.66	0	6	false
17	0	487	420	7.72	4.71	0	0	true
17	1	226	273	8.06	4.87	0	1	true
17	2	252	369	6.83	1.92	0	2	true
17	3	254	217	5.86	3.8	0	3	true
17	4	154	114	8.11	0.07	0	4	true
17	5	164	384	9.97	6.02	0	5	true
17	6	128	147	8.84	1.96	0	6	true
17	7	201	21	8.3	4.78	0	6	false
17	8	197	24	8.49	4.06	0	6	false
17	9	189	26	7.59	0.49	0	6	false
18	0	487	412	7.72	4.71	0	0	true
18	1	228	265	8.06	4.87	0	1	true
18	2	250	375	6.83	1.92	0	2	true
18	3	249	214	5.86	3.8	0	3	true
18	4	162	114	8.11	0.07	0	4	true
18	5	173	381	9.97	6.02	0	5	true
18	6	124	155	8.84	1.96	0	6	true
18	7	202	13	7.68	0.34	0	6	false
18	8	191	17	8.31	3.88	0	6	false
18	9	196	30	8.49	3.83	0	6	false
19	0	487	405	7.72	4.71	0	0	true
19	1	229	258	8.06	4.87	0	1	true
19	2	247	382	6.83	1.92	0	2	true
19	3	244	210	5.86	3.8	0	3	true
19	4	170	115	8.11	0.07	0	4	true
19	5	183	379	9.97	6.02	0	5	true
