models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=1,1,1,1,1,1,4,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	328	330	7.34	0.12	0	0	true
1	1	40	238	8.51	6.15	0	1	true
1	2	399	403	5.87	5.02	0	2	true
1	3	332	173	9.18	0.95	0	3	true
1	4	434	494	5.9	2.12	0	4	true
1	5	357	303	9.89	1.93	0	5	true
1	6	47	8	9.69	5.71	0	6	true
1	7	41	5	11.05	2.61	0	6	false
1	8	35	22	8.78	6.98	0	6	false
1	9	43	23	8.44	7.01	0	6	false
2	0	335	331	7.34	0.12	0	0	true
2	1	48	237	8.51	6.15	0	1	true
2	2	400	397	5.87	5.02	0	2	true
2	3	338	180	9.18	0.95	0	3	true
2	4	431	499	5.9	2.12	0	4	true
2	5	354	312	9.89	1.93	0	5	true
2	6	55	3	9.69	5.71	0	6	true
2	7	31	11	10.42	4.36	0	6	false
2	8	42	28	10.02	7.37	0	6	false
2	9	49	29	10.64	6.67	0	6	false
3	0	342	332	7.34	0.12	0	0	true
3	1	57	236	8.51	6.15	0	1	true
3	2	402	392	5.87	5.02	0	2	true
3	3	343	188	9.18	0.95	0	3	true
3	4	428	495	5.9	4.16	0	4	true
3	5	350	322	9.89	1.93	0	5	true
3	6	63	1	9.69	0.57	0	6	true
3	7	28	1	9.52	1.56	0	6	false
3	8	47	37	10.62	5.37	0	6	false
3	9	59	33	9.54	5.51	0	6	false
4	0	350	333	7.34	0.12	0	0	true
4	1	65	235	8.51	6.15	0	1	true
4	2	404	386	5.87	5.02	0	2	true
4	3	348	195	9.18	0.95	0	3	true
4	4	425	490	5.9	4.16	0	4	true
4	5	347	331	9.89	1.93	0	5	true
4	6	72	7	9.69	0.57	0	6	true
4	7	28	11	9.95	8.81	0	6	false
4	8	53	28	8.24	2.64	0	6	false
4	9	66	26	10.73	3.56	0	6	false
5	0	357	334	7.34	0.12	0	0	true
5	1	74	234	8.51	6.15	0	1	true
5	2	406	380	5.87	5.02	0	2	true
5	3	354	203	9.18	0.95	0	3	true
5	4	422	485	5.9	4.16	0	4	true
5	5	343	340	9.89	1.93	0	5	true
5	6	80	12	9.69	0.57	0	6	true
5	7	20	16	10.87	5.36	0	6	false
5	8	46	32	10.07	6.89	0	6	false
5	9	56	22	11	3.41	0	6	false
6	0	364	335	7.34	0.12	0	0	true
6	1	82	232	8.51	6.15	0	1	true
6	2	408	375	5.87	5.02	0	2	true
6	3	359	210	9.18	0.95	0	3	true
6	4	419	480	5.9	4.16	0	4	true
6	5	340	349	9.89	1.93	0	5	true
6	6	88	17	9.69	0.57	0	6	true
6	7	26	8	10.7	1.23	0	6	false
6	8	54	38	10.87	6.64	0	6	false
6	9	46	19	8.72	3.86	0	6	false
7	0	371	335	7.34	0.12	0	0	true
7	1	91	231	8.51	6.15	0	1	true
7	2	409	369	5.87	5.02	0	2	true
7	3	365	218	9.18	0.95	0	3	true
7	4	415	475	5.9	4.16	0	4	true
7	5	336	359	9.89	1.93	0	5	true
7	6	96	22	9.69	0.57	0	6	true
7	7	30	18	8.9	0.14	0	6	false
7	8	64	42	8.36	3.76	0	6	false
7	9	39	13	9.56	1.58	0	6	false
8	0	379	336	7.34	0.12	0	0	true
8	1	99	230	8.51	6.15	0	1	true
8	2	411	364	5.87	5.02	0	2	true
8	3	370	225	9.18	0.95	0	3	true
8	4	412	470	5.9	4.16	0	4	true
8	5	333	368	9.89	1.93	0	5	true
8	6	104	28	9.69	0.57	0	6	true
8	7	39	19	10.95	1.45	0	6	false
8	8	58	37	10.75	4.75	0	6	false
8	9	39	23	10.96	0.24	0	6	false
9	0	386	337	7.34	0.12	0	0	true
9	1	107	229	8.51	6.15	0	1	true
9	2	413	358	5.87	5.02	0	2	true
9	3	375	232	9.18	0.95	0	3	true
9	4	409	465	5.9	4.16	0	4	true
9	5	329	377	9.89	1.93	0	5	true
9	6	112	33	9.69	0.57	0	6	true
9	7	40	30	10.4	2.22	0	6	false
9	8	58	26	10.28	-1.87	0	6	false
9	9	50	25	8.61	2.6	0	6	false
10	0	393	338	7.34	0.12	0	0	true
10	1	116	228	8.51	6.15	0	1	true
10	2	415	353	5.87	5.02	0	2	true
10	3	381	240	9.18	0.95	0	3	true
10	4	406	460	5.9	4.16	0	4	true
10	5	326	386	9.89	1.93	0	5	true
10	6	121	38	9.69	0.57	0	6	true
10	7	34	38	8.72	3.81	0	6	false
10	8	55	16	10.95	-2.3	0	6	false
10	9	42	30	8.66	1.72	0	6	false
11	0	401	339	7.34	0.12	0	0	true
11	1	124	227	8.51	6.15	0	1	true
11	2	417	347	5.87	5.02	0	2	true
11	3	386	247	9.18	0.95	0	3	true
11	4	403	455	5.9	4.16	0	4	true
11	5	322	396	9.89	1.93	0	5	true
11	6	129	43	9.69	0.57	0	6	true
11	7	27	33	10.49	0.81	0	6	false
11	8	48	8	10.21	2.57	0	6	false
11	9	41	38	8.29	-2.19	0	6	false
12	0	408	340	7.34	0.12	0	0	true
12	1	133	226	8.51	6.15	0	1	true
12	2	418	341	5.87	5.02	0	2	true
12	3	391	255	9.18	0.95	0	3	true
12	4	400	450	5.9	4.16	0	4	true
12	5	319	405	9.89	1.93	0	5	true
12	6	137	49	9.69	0.57	0	6	true
12	7	34	40	9.67	-2.44	0	6	false
12	8	39	14	11.1	0.09	0	6	false
12	9	36	32	10.74	-0.32	0	6	false
13	0	415	340	7.34	0.12	0	0	true
13	1	141	225	8.51	6.15	0	1	true
13	2	420	336	5.87	5.02	0	2	true
13	3	397	262	9.18	0.95	0	3	true
13	4	397	444	5.9	4.16	0	4	true
13	5	315	414	9.89	1.93	0	5	true
13	6	145	54	9.69	0.57	0	6	true
13	7	27	34	9.81	-1.08	0	6	false
13	8	50	15	10.6	-1.08	0	6	false
13	9	46	28	10.58	1.59	0	6	false
14	0	422	341	7.34	0.12	0	0	true
14	1	150	224	8.51	6.15	0	1	true
14	2	422	330	5.87	5.02	0	2	true
14	3	402	270	9.18	0.95	0	3	true
14	4	394	439	5.9	4.16	0	4	true
14	5	312	424	9.89	1.93	0	5	true
14	6	153	59	9.69	0.57	0	6	true
14	7	31	26	9.49	2.84	0	6	false
14	8	55	5	8.29	0.2	0	6	false
14	9	46	39	10.68	2.07	0	6	false
15	0	430	342	7.34	0.12	0	0	true
15	1	158	223	8.51	6.15	0	1	true
15	2	424	325	5.87	5.02	0	2	true
15	3	407	277	9.18	0.95	0	3	true
15	4	391	434	5.9	4.16	0	4	true
15	5	308	433	9.89	1.93	0	5	true
15	6	161	64	9.69	0.57	0	6	true
15	7	22	28	8.67	0.88	0	6	false
15	8	63	7	9.09	2.82	0	6	false
15	9	41	48	9.2	0.98	0	6	false
16	0	437	343	7.34	0.12	0	0	true
16	1	167	221	8.51	6.15	0	1	true
16	2	426	319	5.87	5.02	0	2	true
16	3	413	285	9.18	0.95	0	3	true
16	4	388	429	5.9	4.16	0	4	true
16	5	305	442	9.89	1.93	0	5	true
16	6	169	70	9.69	0.57	0	6	true
16	7	28	35	10.21	2.43	0	6	false
16	8	55	10	10.16	0.27	0	6	false
16	9	46	56	10.24	0.04	0	6	false
17	0	444	344	7.34	0.12	0	0	true
17	1	175	220	8.51	6.15	0	1	true
17	2	427	313	5.87	5.02	0	2	true
17	3	418	292	9.18	0.95	0	3	true
17	4	385	424	5.9	4.16	0	4	true
17	5	301	451	9.89	1.93	0	5	true
17	6	178	75	9.69	0.57	0	6	true
17	7	20	42	9.68	-2.32	0	6	false
17	8	64	13	10.59	-0.38	0	6	false
17	9	56	56	8.37	0.45	0	6	false
18	0	452	345	7.34	0.12	0	0	true
18	1	183	219	8.51	6.15	0	1	true
18	2	429	308	5.87	5.02	0	2	true
18	3	424	299	9.18	0.95	0	3	true
18	4	382	419	5.9	4.16	0	4	true
18	5	298	461	9.89	1.93	0	5	true
18	6	186	80	9.69	0.57	0	6	true
18	7	14	35	9.05	2.89	0	6	false
18	8	74	9	9.63	3.04	0	6	false
18	9	64	60	8.87	0.01	0	6	false
19	0	459	346	7.34	0.12	0	0	true
19	1	192	218	8.51	6.15	0	1	true
19	2	431	302	5.87	5.02	0	2	true
19	3	429	307	9.18	0.95	0	3	true
19	4	379	414	5.9	4.16	0	4	true
19	5	294	470	9.89	1.93	0	5	true
19	6	194	85	9.69	0.57	0	6	true
19	7	5	37	10.15	0.72	0	6	false
19	8	65	10	8.42	1.39	0	6	false
19	9	73	60	8.43	0.66	0	6	false
20	0	466	346	7.34	0.12	0	0	true
20	1	200	217	8.51	6.15	0	1	true
20	2	433	297	5.87	5.02	0	2	true
20	3	434	314	9.18	0.95	0	3	true
20	4	376	409	5.9	4.16	0	4	true
20	5	291	479	9.89	1.93	0	5	true
20	6	202	91	9.69	0.57	0	6	true
20	7	13	44	10.1	2.06	0	6	false
20	8	66	18	9.44	-1.23	0	6	false
20	9	80	65	8.91	-1.28	0	6	false
21	0	471	344	5.84	5.79	0	0	true
21	1	205	222	6.89	0.75	0	1	true
21	2	428	303	8.01	2.16	0	2	true
21	3	431	320	6.15	2.15	0	3	true
21	4	375	414	5.1	1.67	0	4	true
21	5	282	482	9.01	2.86	0	5	true
21	6	196	97	9.13	2.32	0	6	true
21	7	8	52	9.04	0.48	0	6	false
21	8	69	9	10.35	2.15	0	6	false
21	9	82	57	8.47	2.77	0	6	false
22	0	476	341	5.84	5.79	0	0	true
22	1	210	226	6.89	0.75	0	1	true
22	2	424	310	8.01	2.16	0	2	true
22	3	428	325	6.15	2.15	0	3	true
22	4	375	419	5.1	1.67	0	4	true
22	5	274	484	9.01	2.86	0	5	true
22	6	189	104	9.13	2.32	0	6	true
22	7	16	57	8.04	-0.99	0	6	false
22	8	64	18	8.2	0.68	0	6	false
22	9	74	60	9.81	-0.5	0	6	false
23	0	482	338	5.84	5.79	0	0	true
23	1	216	231	6.89	0.75	0	1	true
23	2	420	317	8.01	2.16	0	2	true
23	3	424	330	6.15	2.15	0	3	true
23	4	374	424	5.1	1.67	0	4	true
23	5	265	487	9.01	2.86	0	5	true
23	6	183	111	9.13	2.32	0	6	true
23	7	20	50	9.48	2.81	0	6	false
23	8	70	23	9.77	1.49	0	6	false
23	9	83	55	8.8	2.63	0	6	false
24	0	487	335	5.84	5.79	0	0	true
24	1	221	236	6.89	0.75	0	1	true
24	2	415	323	8.01	2.16	0	2	true
24	3	421	335	6.15	2.15	0	3	true
24	4	374	430	5.1	1.67	0	4	true
24	5	256	489	9.01	2.86	0	5	true
24	6	177	117	9.13	2.32	0	6	true
24	7	11	53	8.25	2.12	0	6	false
24	8	71	33	9.58	2.5	0	6	false
24	9	75	59	8.68	-0.53	0	6	false
25	0	492	332	5.84	5.79	0	0	true
25	1	226	240	6.89	0.75	0	1	true
25	2	411	330	8.01	2.16	0	2	true
25	3	418	340	6.15	2.15	0	3	true
25	4	373	435	5.1	1.67	0	4	true
25	5	248	492	9.01	2.86	0	5	true
25	6	171	124	9.13	2.32	0	6	true
25	7	7	60	9.88	0.33	0	6	false
25	8	63	38	8.26	0.48	0	6	false
25	9	83	55	8.89	-1.23	0	6	false
26	0	497	330	5.84	5.79	0	0	true
26	1	231	245	6.89	0.75	0	1	true
26	2	406	337	8.01	2.16	0	2	true
26	3	414	345	6.15	2.15	0	3	true
26	4	373	440	5.1	1.67	0	4	true
26	5	239	494	9.01	2.86	0	5	true
26	6	165	131	9.13	2.32	0	6	true
26	7	16	63	8.17	1.97	0	6	false
26	8	70	42	10.27	2.87	0	6	false
26	9	86	47	8.99	2.41	0	6	false
27	0	497	327	5.84	3.64	0	0	true
27	1	236	250	6.89	0.75	0	1	true
27	2	402	343	8.01	2.16	0	2	true
27	3	411	351	6.15	2.15	0	3	true
27	4	372	445	5.1	1.67	0	4	true
27	5	230	497	9.01	2.86	0	5	true
27	6	158	137	9.13	2.32	0	6	true
27	7	13	71	10.22	-1.23	0	6	false
27	8	61	45	9.54	2.28	0	6	false
27	9	79	53	8.88	2.31	0	6	false
28	0	492	324	5.84	3.64	0	0	true
28	1	241	255	6.89	0.75	0	1	true
28	2	397	350	8.01	2.16	0	2	true
28	3	408	356	6.15	2.15	0	3	true
28	4	371	450	5.1	1.67	0	4	true
28	5	222	499	9.01	2.86	0	5	true
28	6	152	144	9.13	2.32	0	6	true
28	7	16	61	8.5	3.35	0	6	false
28	8	54	52	8.55	2.5	0	6	false
28	9	73	59	9.09	-1.15	0	6	false
29	0	487	321	5.84	3.64	0	0	true
29	1	246	259	6.89	0.75	0	1	true
29	2	393	357	8.01	2.16	0	2	true
29	3	404	361	6.15	2.15	0	3	true
29	4	371	455	5.1	1.67	0	4	true
29	5	213	497	9.01	3.42	0	5	true
29	6	146	151	9.13	2.32	0	6	true
29	7	8	59	10.34	-0.41	0	6	false
29	8	47	57	8.1	0.74	0	6	false
29	9	77	51	9.06	2.94	0	6	false
30	0	481	319	5.84	3.64	0	0	true
30	1	251	264	6.89	0.75	0	1	true
30	2	389	363	8.01	2.16	0	2	true
30	3	401	366	6.15	2.15	0	3	true
30	4	370	460	5.1	1.67	0	4	true
30	5	204	495	9.01	3.42	0	5	true
30	6	140	157	9.13	2.32	0	6	true
30	7	18	55	9.37	1.45	0	6	false
30	8	53	63	9.76	2.09	0	6	false
30	9	68	53	9.01	0.1	0	6	false
31	0	476	316	5.84	3.64	0	0	true
31	1	256	269	6.89	0.75	0	1	true
31	2	384	370	8.01	2.16	0	2	true
31	3	398	371	6.15	2.15	0	3	true
31	4	370	465	5.1	1.67	0	4	true
31	5	196	492	9.01	3.42	0	5	true
31	6	133	164	9.13	2.32	0	6	true
31	7	19	65	9.16	3.48	0	6	false
31	8	49	71	7.84	3.34	0	6	false
31	9	77	53	10.31	-0.94	0	6	false
32	0	471	313	5.84	3.64	0	0	true
32	1	261	273	6.89	0.75	0	1	true
32	2	380	377	8.01	2.16	0	2	true
32	3	394	376	6.15	2.15	0	3	true
32	4	369	470	5.1	1.67	0	4	true
32	5	187	490	9.01	3.42	0	5	true
32	6	127	171	9.13	2.32	0	6	true
32	7	10	61	8.6	0.77	0	6	false
32	8	41	70	9.71	3.62	0	6	false
32	9	83	45	8.89	-0.96	0	6	false
33	0	466	310	5.84	3.64	0	0	true
33	1	266	278	6.89	0.75	0	1	true
33	2	375	383	8.01	2.16	0	2	true
33	3	391	381	6.15	2.15	0	3	true
33	4	369	475	5.1	1.67	0	4	true
33	5	178	487	9.01	3.42	0	5	true
33	6	121	177	9.13	2.32	0	6	true
33	7	16	67	10.24	0.73	0	6	false
33	8	32	65	9.87	1.67	0	6	false
33	9	88	38	8.87	3.96	0	6	false
34	0	461	307	5.84	3.64	0	0	true
34	1	271	283	6.89	0.75	0	1	true
34	2	371	390	8.01	2.16	0	2	true
34	3	388	387	6.15	2.15	0	3	true
34	4	368	480	5.1	1.67	0	4	true
34	5	170	485	9.01	3.42	0	5	true
34	6	115	184	9.13	2.32	0	6	true
34	7	24	74	10.35	2.72	0	6	false
34	8	31	75	9.16	0.16	0	6	false
34	9	82	31	9	1.89	0	6	false
35	0	456	305	5.84	3.64	0	0	true
35	1	276	287	6.89	0.75	0	1	true
35	2	366	397	8.01	2.16	0	2	true
35	3	384	392	6.15	2.15	0	3	true
35	4	368	485	5.1	1.67	0	4	true
35	5	161	483	9.01	3.42	0	5	true
35	6	108	191	9.13	2.32	0	6	true
35	7	14	78	9.31	-0.48	0	6	false
35	8	40	77	8.83	-1.21	0	6	false
35	9	79	40	9.78	-0.99	0	6	false
36	0	451	302	5.84	3.64	0	0	true
36	1	281	292	6.89	0.75	0	1	true
36	2	362	403	8.01	2.16	0	2	true
36	3	381	397	6.15	2.15	0	3	true
36	4	367	490	5.1	1.67	0	4	true
36	5	152	480	9.01	3.42	0	5	true
36	6	102	197	9.13	2.32	0	6	true
36	7	23	74	8.73	3.28	0	6	false
36	8	43	68	10.16	3.01	0	6	false
36	9	84	32	9.31	2.9	0	6	false
37	0	446	299	5.84	3.64	0	0	true
37	1	286	297	6.89	0.75	0	1	true
37	2	358	410	8.01	2.16	0	2	true
37	3	378	402	6.15	2.15	0	3	true
37	4	367	496	5.1	1.67	0	4	true
37	5	144	478	9.01	3.42	0	5	true
37	6	96	204	9.13	2.32	0	6	true
37	7	14	73	8.75	2.04	0	6	false
37	8	33	70	10.27	3.24	0	6	false
37	9	75	34	10.32	0.29	0	6	false
38	0	440	296	5.84	3.64	0	0	true
38	1	291	302	6.89	0.75	0	1	true
38	2	353	417	8.01	2.16	0	2	true
38	3	374	407	6.15	2.15	0	3	true
38	4	366	498	5.1	4.61	0	4	true
38	5	135	475	9.01	3.42	0	5	true
38	6	90	210	9.13	2.32	0	6	true
38	7	10	81	8.17	0.16	0	6	false
38	8	23	69	9	0.51	0	6	false
38	9	85	37	8.1	-0.41	0	6	false
39	0	435	293	5.84	3.64	0	0	true
39	1	296	306	6.89	0.75	0	1	true
39	2	349	423	8.01	2.16	0	2	true
39	3	371	412	6.15	2.15	0	3	true
39	4	366	493	5.1	4.61	0	4	true
39	5	126	473	9.01	3.42	0	5	true
39	6	83	217	9.13	2.32	0	6	true
39	7	18	82	9.49	-1.13	0	6	false
39	8	31	73	10.21	2.1	0	6	false
39	9	93	34	10.34	3.87	0	6	false
40	0	430	291	5.84	3.64	0	0	true
40	1	301	311	6.89	0.75	0	1	true
40	2	344	430	8.01	2.16	0	2	true
40	3	368	418	6.15	2.15	0	3	true
40	4	365	488	5.1	4.61	0	4	true
40	5	118	470	9.01	3.42	0	5	true
40	6	77	224	9.13	2.32	0	6	true
40	7	22	73	10.19	3.39	0	6	false
40	8	26	82	10.34	0.73	0	6	false
40	9	85	27	9.22	3.29	0	6	false
41	0	423	290	6.7	3.26	0	0	true
41	1	307	317	8.53	0.8	0	1	true
41	2	339	424	8.36	4.05	0	2	true
41	3	375	416	7.82	6.06	0	3	true
41	4	357	483	9.86	3.72	0	4	true
41	5	118	477	6.6	1.59	0	5	true
41	6	74	214	9.86	4.38	0	6	true
41	7	12	71	9.95	1.98	0	6	false
41	8	34	89	8.72	3.23	0	6	false
41	9	76	25	8.41	0.85	0	6	false
42	0	417	289	6.7	3.26	0	0	true
42	1	313	323	8.53	0.8	0	1	true
42	2	334	417	8.36	4.05	0	2	true
42	3	383	414	7.82	6.06	0	3	true
42	4	349	477	9.86	3.72	0	4	true
42	5	118	483	6.6	1.59	0	5	true
42	6	71	205	9.86	4.38	0	6	true
42	7	8	80	9.33	2	0	6	false
42	8	25	88	9.69	2.34	0	6	false
